timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,953564.2,1737907.8,920401.5,799541.9,405802.8,517019.2,445761.2,222031.9,484050,145022.4,256332.9,952438,619457.5,564442.1,546869.4,350010,231022.5,301782.4,341493.8,448379.4
1,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,953634.2,1747897.8,920401.5,753341.6,452093.9,673682.5,288780.7,379330.8,326431.4,145022.4,221521.9,972418,599517.5,564442.1,546869.4,350010,231022.5,301782.4,341493.8,448379.4
2,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,953609.7,1747897.8,920401.5,743394.8,452075.2,360355.9,602741.7,222031.9,484050,145022.4,221521.9,972418,599517.5,564442.1,546869.4,350010,231022.5,301782.4,341493.8,448379.4
3,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,805782,1727917.9,803839,951833.6,405121.3,490376.8,602741.7,222031.9,484050,145022.4,258636.9,972418,599517.5,564442.1,546869.4,350010,231022.5,301782.4,341493.8,521020.9
4,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,805781.3,1727917.9,803839,951833.6,405121.3,490376.8,445761.2,379330.8,484050,145022.4,265589.9,972418,599517.5,564442.1,546869.4,434510.5,231022.5,217281.9,341493.8,521020.9
5,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00491,0.00501,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,969448.2,1815986.7,943358.4,743394.8,405117.1,490364,445761.2,379330.8,484050,145022.4,205112.1,962350,609631.9,564442.1,546869.4,434510.5,231022.5,217281.9,341493.8,521020.9
6,0.00501,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,0.00511,277903.2,1665985.1,1353447.5,927397.8,509106.4,306191.5,565608.2,445761.2,222031.9,484050,700762.9,847527.8,674919.1,546869.4,518386.2,231022.5,217281.9,341493.8,532141.7,348171.8
7,0.00501,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,0.00511,221813.7,1542521.8,1398405.1,1025676.1,626302.7,306191.5,565608.2,288780.7,379330.8,484050,1018744.3,819283.4,564442.1,546869.4,533517.3,231022.5,217281.9,341493.8,380086.1,348171.8
8,0.00501,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00492,0.00502,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,0.00511,531723,1618229.5,1389377,817655.8,509106.4,222634.4,565608.2,131800.2,536629.7,484050,146324.7,1039045.3,754733.9,444833.9,634157.4,332733.8,217281.9,341493.8,380086.1,348171.8
9,0.00502,0.00501,0.005,0.00499,0.00498,0.00497,0.00496,0.00495,0.00494,0.00493,0.00503,0.00504,0.00505,0.00506,0.00507,0.00508,0.00509,0.0051,0.00511,0.00512,346856.3,1196214.5,1289618.4,1349815,509540.8,412468,435892.6,326087.1,288780.7,455328.7,597994.9,1054297.1,561842.8,684999.4,252522.2,297493.5,341493.8,380086.1,348171.8,143468.8
