timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,67653.82,67653.81,67653.23,67653.1,67653.09,67652.36,67652.28,67652,67651.5,67651.25,67653.83,67653.84,67654,67654.06,67654.57,67654.6,67654.83,67654.84,67654.85,67654.86,1.05589,0.00008,0.00008,0.01184,0.13311,0.01487,0.00008,0.00026,0.003,0.00008,0.81334,0.0008,0.0012,0.00089,0.00008,0.00009,0.0375,0.03369,0.00008,0.01192
1,67747.57,67747.56,67747.16,67747.15,67747.14,67747.12,67745.82,67745.81,67745.77,67745.52,67747.58,67747.59,67747.61,67747.68,67747.98,67748,67748.2,67748.38,67748.39,67748.46,1.42823,0.0004,0.02422,0.01802,0.00008,0.00008,0.04749,0.01493,0.00008,0.00008,0.1935,0.00072,0.00008,0.00009,0.00462,0.002,0.00009,0.00008,0.05093,0.00008
2,67754,67753.99,67753.88,67753.4,67753.37,67753.2,67752.79,67752.62,67752.61,67752.53,67754.01,67754.02,67755.2,67755.46,67755.51,67756.36,67756.39,67756.57,67756.9,67757.02,0.00884,0.0004,0.00008,0.00009,0.00029,0.00008,0.13948,0.00008,0.0006,0.00008,3.22048,0.00008,0.003,0.00031,0.00008,0.16716,0.10993,0.00008,0.003,0.22273
3,67758.83,67758.68,67758.61,67758.12,67758.11,67757.93,67755.51,67755.24,67755.2,67754.19,67758.84,67758.85,67759.17,67760,67760.48,67760.49,67760.62,67760.79,67760.8,67760.84,0.54491,0.00008,0.00008,0.00008,0.01485,0.00008,0.00008,0.00009,0.003,0.03559,1.03138,0.00016,0.00461,0.0012,0.24653,0.4876,0.00008,0.00008,0.00008,0.00009
4,67771.61,67771.6,67771.02,67771.01,67770.76,67770.32,67770.31,67770,67769.71,67769.54,67771.62,67771.63,67772.16,67772.2,67772.78,67773.41,67773.46,67773.59,67773.6,67773.85,0.1104,0.00073,0.00008,0.02516,0.00008,0.00008,0.00008,0.03297,0.01182,0.00008,1.97824,0.00016,0.00008,0.003,0.00008,0.13313,0.00008,0.17536,0.33864,0.01122
5,67824.31,67824.3,67824,67823.6,67823.45,67823.42,67823.2,67822.84,67822.83,67822.82,67824.32,67824.33,67825.26,67825.44,67826.24,67826.59,67827.18,67827.52,67827.55,67828.69,1.10455,0.13324,0.0008,0.00009,0.00008,0.00089,0.003,0.03826,0.03195,0.03877,0.02481,0.00024,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
6,67863.61,67863.6,67862.84,67862.64,67862.63,67862.45,67862.44,67862.43,67862.3,67862.12,67863.62,67863.63,67863.97,67864,67864.14,67864.65,67865.18,67865.19,67865.2,67865.4,0.96266,0.00016,0.00837,0.00025,0.00008,0.03116,0.07578,0.10024,0.003,0.00009,0.45729,0.00056,0.00008,0.0012,0.00089,0.00008,0.04127,0.02054,0.04179,0.00008
7,67834.92,67834.91,67833.7,67833.59,67833.57,67833.29,67833.28,67833,67832.1,67832,67834.93,67834.94,67835.1,67835.43,67835.6,67836.74,67836.75,67836.76,67836.77,67836.79,0.03079,0.0004,0.00008,0.00008,0.00015,0.00008,0.00015,0.00044,0.00008,0.0008,1.15917,0.00016,0.003,0.00008,0.00008,0.01798,0.04893,0.00016,0.04962,0.00016
8,67765.23,67764.69,67764.68,67763.63,67763.62,67763.6,67763.33,67762.24,67762.23,67762.18,67765.24,67765.25,67765.5,67765.73,67765.74,67766,67766.03,67766.4,67766.57,67767.27,0.81406,0.00008,0.01182,0.02589,0.04306,0.04359,0.00008,0.02198,0.03482,0.00008,0.64392,0.00088,0.00008,0.05525,0.00008,0.004,0.00008,0.00009,0.03559,0.02516
9,67727.39,67727.26,67727.18,67727.16,67726.79,67726.3,67725.54,67725.53,67725.43,67725.42,67727.4,67727.73,67727.74,67727.94,67727.99,67728,67728.5,67728.54,67728.81,67728.87,0.84848,0.29257,0.0218,0.13788,1.51239,0.003,0.00008,0.22987,1.67536,2.06772,0.00017,0.00008,0.00008,0.00009,0.00008,0.0012,0.00233,0.00089,0.00008,0.00008
10,67799.99,67799.98,67799.57,67799.56,67799.54,67799.53,67799.14,67799.04,67799.03,67798.8,67800,67800.01,67800.2,67800.32,67800.48,67800.89,67800.96,67800.97,67801.05,67801.1,0.19005,0.0008,0.00008,0.13312,0.00008,0.00008,0.00008,0.00599,0.00599,0.00008,1.00889,0.00302,0.00009,0.00009,0.00008,0.00216,0.11956,0.13312,0.00008,0.003
