timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000408,0.000409,3377159,18558918,14099959,7208164,2604478,1386001,926469,654340,508969,731889,425274,12051092,15215894,14917194,2809117,3874620,1286594,891885,200000,6655995
1,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000408,0.000409,1535497,15893479,18221266,6694309,2671932,1386001,1363356,216336,508969,731889,365413,13202614,22969317,6326341,2819081,3450710,2132322,891885,200000,6655995
2,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,10677565,22555532,13281758,5984155,2604478,1386001,636887,216336,508969,731889,7813776,25020362,7443595,2893707,3874620,1286594,891885,420786,200000,6655995
3,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,5089543,17722145,15717991,6679253,3039147,1386001,872125,216336,508969,731889,1366993,13145157,22750687,5584413,2468745,4298530,1286594,891885,620786,352014
4,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,1535965,19236526,18565294,7466613,2671932,1386001,872125,654340,508969,731889,1365835,13145157,24836049,6010432,3318669,3450710,1286594,891885,200000,352014
5,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,1535965,19241482,18565294,7466613,2671932,1386001,872125,654340,508969,731889,1365835,13145157,20210903,6010432,2893707,3874620,1286594,891885,200000,352014
6,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,1535965,16325852,23027052,7466613,2671932,1386001,872125,654340,508969,731889,1306657,13204519,20210903,5584413,3318669,3874620,1286594,891885,200000,352014
7,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,1535965,18978488,20528871,7465944,2671932,1386001,1309012,216336,508969,731889,1365933,13145157,24821152,5584413,2468745,3874620,2132322,891885,200000,352014
8,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.000387,0.000399,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,1535965,16325852,18766355,6611314,2671944,1386001,1309012,216336,508969,731889,1365933,13145157,20210903,5584413,2468745,3450710,2555186,891885,200000,352014
9,0.000399,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,1369428,11480044,15271966,14999027,7130715,1518434,1386001,1309012,216336,508969,165000,19555709,12627095,3498782,3450710,1709458,1735529,200000,411054,1562692
10,0.000399,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.00039,0.0004,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,1369428,13431583,14017912,14424950,6918628,1518434,1821776,872125,216336,508969,365000,10680439,14627536,3498782,3450710,1286594,1735529,620786,411054,1562692
11,0.0004,0.000399,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,0.00041,222500,10872449,19668154,8868535,7605122,6851332,1307603,950226,1309012,216336,7997862,21470786,3073820,3874620,863730,1313707,620786,1250562,1562692,250713
12,0.0004,0.000399,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,0.00041,387500,12886259,17718226,9654405,7749788,6851332,1307603,950226,1309012,216336,7997862,18974818,6307297,3874620,863730,891885,1041572,1250562,1562692,250713
13,0.0004,0.000399,0.000398,0.000397,0.000396,0.000395,0.000394,0.000393,0.000392,0.000391,0.000401,0.000402,0.000403,0.000404,0.000405,0.000406,0.000407,0.000408,0.000409,0.00041,387500,12886259,17718226,10616188,6829907,6851332,1307603,1386001,872125,216336,7997862,18974818,6307297,3450710,1286594,891885,620786,830808,2400148,250713
