timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.0000195,3409090,3410852,7264479,4778091,3218468,5776162,1987912,23335848,46972471,14333882,24762344,57007264,13475178,14985863,8516129,30086812,19919250,522558142,65052376,2564102
1,0.00001933,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.00001926,0.00001925,0.00001924,0.00001923,0.00001935,0.00001936,0.00001937,0.00001938,0.00001939,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,4731238,5403614,21350036,17298054,33808092,16355379,15226879,56147450,13684726,1335573,3410852,23565891,4926664,14856098,31208223,39539158,29019765,8527131,36837318,8516129
2,0.00001933,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.00001926,0.00001925,0.00001924,0.00001922,0.00001936,0.00001937,0.00001938,0.00001939,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,7223756,5403614,21350036,17298054,33808092,16355379,15226879,56147450,13684726,34622342,23565891,4926664,14856098,31208223,8527131,60031792,8527131,36837318,8516129,47052762
3,0.00001935,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.00001926,0.00001925,0.00001936,0.00001938,0.00001939,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,1535582,3435121,2439138,5403614,11008489,23335848,33808092,16355379,15226879,58596488,20081791,14856098,31208223,10163046,37544693,39539158,36837318,19899788,38613943,8540372
4,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.00001926,0.00001936,0.00001937,0.00001938,0.00001939,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,4597219,3412616,3435121,2439138,5403614,11008489,19914387,33808092,29586710,2050852,10536270,3407330,14856098,31208223,10163046,68556720,8527131,10034987,8516129,76788319
5,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001927,0.00001926,0.00001936,0.00001937,0.00001938,0.00001939,0.0000194,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,4323499,3412616,3435121,2439138,5403614,11008489,19914387,44017975,29586710,2050852,9268138,3407330,14856098,31208223,10163046,37544693,39539158,10034987,8516129,65408206
6,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,3407330,7159264,5960351,6635448,2482360,2069932,6981343,9418174,19914387,42047870,43233232,4499164,13281333,10079183,72577050,8540372,562095097,823934136,8524928,49603664
7,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001928,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,3407330,7159264,5960351,6635448,2482360,2069932,6981343,9418174,19914387,50333657,43233232,4499164,13281333,10079183,34402674,39552399,542459561,823934136,35309589,49603664
8,0.00001939,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,3403816,3950840,30339301,17888681,3793130,1970014,2119831,2069932,6981343,17695375,33918233,14534494,10079183,62123776,21718717,531083070,832829397,8524928,76387551,519503024
9,0.00001939,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,3403816,3950840,30339301,17888681,3793130,1970014,2119831,20014214,20106321,17695375,33918233,14534494,10079183,31111749,21718717,553293294,832829397,8524928,76387551,519503024
10,0.00001939,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,3403816,3950840,30339301,17888681,3793130,1970014,2119831,20014214,20106321,9418174,33320991,14534494,10079183,31111749,21718717,591497247,821456442,8524928,49603664,519503024
11,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.0000194,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,3950840,30339301,18789754,2549499,1970014,7134314,2069932,15110674,9418174,11604850,3402061,33302803,14534494,10079183,31111749,64115387,522281267,848267828,8524928,49603664
12,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,3950840,30339301,18789754,2549499,1970014,7134314,2069932,15110674,9418174,11604850,31577850,14534494,10079183,31111749,21718717,591488451,821456442,8524928,49603664,519503024
13,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,3950840,30339301,18789754,2549499,1970014,7134314,2069932,15110674,9418174,11604850,41655552,14534494,10079183,31111749,21718717,591488451,821456442,8524928,49603664,519503024
14,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001941,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,0.0000195,0.00001951,2251856,30339301,18789754,2549499,1970014,7134314,20014214,15110674,9398321,11604850,40436330,14534494,10079183,31111749,28482741,591488451,821456442,8524928,49603664,512739000
15,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001939,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,2134390,26931971,18789754,2549499,1970014,7134314,20014214,15110674,9398321,13248208,3125189,32326921,10387585,35534494,10079183,41123776,39866231,522281267,848261341,8524928
16,0.00001938,0.00001937,0.00001936,0.00001935,0.00001934,0.00001933,0.00001932,0.00001931,0.0000193,0.00001929,0.00001939,0.00001941,0.00001942,0.00001943,0.00001944,0.00001945,0.00001946,0.00001947,0.00001948,0.00001949,2134390,26931971,15380664,2549499,1970014,7113574,20014214,15110674,9398321,13248208,3125189,32326921,10387585,550202533,19909022,39539158,28482741,548971369,821456442,8524928
