timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,52.16,52.15,52.14,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.17,52.18,52.19,52.2,52.21,52.22,52.23,52.24,52.25,52.26,156.899,102.968,269.653,319.73,164.795,618.226,302.459,159.124,57.953,457.064,166.63,299.96,560.092,377.388,163.52,375.352,683.655,1248.102,800.415,470.584
1,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.04,52.03,52.13,52.14,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,148.094,159.18,100.885,181.485,229.132,412.966,438.605,291.172,342.202,83.829,300.652,803.489,476.412,496.968,481.236,512.5,446.865,396.117,177.829,581.322
2,52.14,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,52.24,175.718,189.319,221.095,508.761,248.67,278.949,205.606,405.144,496.775,250.631,114.342,227.602,469.568,391.749,286.822,393.724,177.829,527.123,615.014,1186.748
3,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.04,52.14,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,214.68,138.668,426.527,567.249,123.312,148.015,462.731,496.775,245.631,267.32,92.615,496.342,552.809,298.046,412.512,262.738,521.835,249.928,444.597,676.315
4,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.04,52.14,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,114.629,144.55,231.152,460.282,124.828,148.015,405.773,454.926,245.631,305.752,162.337,244.78,549.756,233.152,340.351,466.15,583.914,331.524,436.449,729.662
5,52.16,52.15,52.14,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.17,52.18,52.19,52.2,52.21,52.22,52.23,52.24,52.25,52.26,154.452,204.528,269.85,178.838,210.606,387.805,658.497,160.402,142.998,429.325,153.206,399.198,477.271,447.127,340.255,413.199,617.415,1115.098,883.106,464.658
6,52.14,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,52.24,225.045,171.003,129.561,368.454,623.66,160.93,153.599,448.82,518.213,284.056,128.053,240.21,465.14,296.419,222.291,541.045,387.956,428.451,684.892,1081.199
7,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.05,52.04,52.14,52.15,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,102.597,152.828,319.249,619.949,179.307,148.107,401.37,534.939,284.056,305.693,182.167,444.99,575.976,291.151,381.065,215.231,613.499,461.723,466.758,682.192
8,52.15,52.14,52.13,52.12,52.11,52.1,52.09,52.08,52.07,52.06,52.16,52.17,52.18,52.19,52.2,52.21,52.22,52.23,52.24,52.25,144.099,181.583,203.542,189.895,323.99,621.063,210.194,100.64,439.78,534.939,168.494,316.512,453.099,213.772,617.398,352.207,427.055,682.192,1084.613,772.258
9,52.2,52.19,52.18,52.17,52.16,52.15,52.14,52.13,52.12,52.11,52.21,52.22,52.23,52.24,52.25,52.26,52.27,52.28,52.29,52.3,25.209,241.439,346.191,302.072,134.594,349.464,635.008,231.33,112.322,361.58,184.46,682.334,332.233,615.491,676.906,433.734,342.43,656.912,831.478,433.344
10,52.21,52.2,52.19,52.18,52.17,52.16,52.15,52.14,52.13,52.12,52.22,52.23,52.24,52.25,52.26,52.27,52.28,52.29,52.3,52.31,181.577,268.256,406.762,304.526,156.018,81.077,436.652,511.345,272.688,318.156,458.074,307.068,647.041,619.057,511.163,479.973,656.912,768.873,399.505,387.068
11,52.24,52.23,52.22,52.21,52.2,52.19,52.18,52.17,52.16,52.15,52.25,52.26,52.27,52.28,52.29,52.3,52.31,52.32,52.33,52.34,184.57,132.823,458.359,312.809,565.989,340.296,160.138,152.46,96.189,420.392,481.989,73.53,321.715,470.057,378.059,499.183,609.749,678.939,638.974,491.954
12,52.29,52.28,52.27,52.26,52.25,52.24,52.23,52.22,52.21,52.2,52.3,52.31,52.32,52.33,52.34,52.35,52.36,52.37,52.38,52.39,322.703,121.828,191.05,279.049,285.531,453.843,360.498,92.481,157.048,528.994,133.16,271.058,550.517,365.994,587.13,468.194,334.293,409.62,588.612,803.784
13,52.27,52.26,52.25,52.24,52.23,52.22,52.21,52.2,52.19,52.18,52.28,52.29,52.3,52.31,52.32,52.33,52.34,52.35,52.36,52.37,75.974,181.526,193.25,583.529,310.654,77.81,200.473,533.611,444.542,93.717,107.758,419.028,376.772,301.336,520.616,556.604,520.772,488.968,372.498,388.705
