timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,31511581,64507291,100788413,25776863,12049706,13023723,9036439,8880852,9075414,768403,2375690,63621596,52637646,17505527,16440830,21061284,21462542,17240763,15603417,7709697
1,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,31274486,67208414,100788413,25776863,12079621,13023723,9036439,8880852,9075414,768403,2375982,67442413,49835523,17505527,16440830,21061284,21462542,17240763,15603417,7709697
2,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,237095,65863595,103472697,31104087,12452017,12993782,11439760,8850548,10162370,9315412,84776208,58734958,43035654,15445219,12532716,13939928,16939616,25806942,15603417,7709697
3,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,1455141,65815041,100716358,36373967,12049706,12993782,11439760,8850548,9075414,9315412,98258278,43054539,45580253,12915078,12532716,13939928,16939616,25806942,15603417,7709697
4,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,506723,66053560,100716358,35783286,12049706,12993782,11439760,8850548,9075414,9315412,98316706,47008100,41568621,12915078,12532716,17983181,21462542,17240763,15603417,7709697
5,0.000172,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,0.000182,347437,66185417,103239349,33221178,12049706,12993782,11439760,8850548,9075414,9315412,98224448,48027375,40549346,12915078,12532716,17983181,21462542,22662350,10181830,7709697
6,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000162,0.000172,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,18808950,105980640,37772237,15937383,12993782,13888820,8856813,9075414,9315412,4095132,9987571,71213660,44980632,39414670,12915078,12532716,26549360,14781633,22078060,7812474
7,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000162,0.000172,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,19211658,107193365,37611415,17098156,12993782,13888820,8856813,10168708,9315412,4095132,9801547,71214235,44980632,39414670,12915078,12532716,26549360,14781633,22078060,7812474
8,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000162,0.000172,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,19372757,107146498,38178101,17170988,15982558,13888820,8856813,10168708,9315412,4095132,33829232,71214235,42557003,33637713,12915078,12532716,17983181,20394166,17240763,15603417
9,0.000171,0.00017,0.000169,0.000168,0.000167,0.000166,0.000165,0.000164,0.000163,0.000162,0.000172,0.000173,0.000174,0.000175,0.000176,0.000177,0.000178,0.000179,0.00018,0.000181,19372757,104928677,35543161,19821612,15982558,13888820,8856813,10168708,9315412,4095132,33829232,71090482,42557003,33637713,12915078,12532716,17983181,20394166,17240763,15603417
